track_id,display_name,event_name,series,event_tier,event_year,round,venue_name,city,country_or_region,iso_country_code,atlas_region,venue_type,course_variant,direction,course_segment,start_description,finish_description,initiation_description,judged_features,selection_score,diversity_tags,evidence_status,production_clearance,redraw_basis,source_licenses,derivative_risk,researcher,reviewer,status,version
us-stafford-springs-stafford-motor-speedway-formula-drift-2026,Formula Drift 2026 — Stafford Motor Speedway,Formula Drift Rd.4,Formula Drift,international_continental_top,2026,Rd.4,Stafford Motor Speedway,Stafford Springs,United States,US,North America,permanent,oval judged sector,"start-to-finish sequence shown by the cited competition run; open judged course, so whole-lap CW/CCW is not applicable",event-specific judged segment shown in the cited competition source; not the venue full-lap map,marked/staged competition start visible in the cited run,end of the judged sequence visible in the cited run,first judged initiation visible after the acceleration zone; exact marker coordinates require the production review pass,only features visibly marked or repeatedly demonstrated in the cited event source; no inferred clip points are authorized,98,permanent|oval-infield|official-course-map,source-threshold-met,pending-independent-blind-review,Reconstruct factual topology from the competition run plus a separate OSM/venue context map; do not trace either source artwork.,Competition media: reference-only; OSM context: ODbL attribution required if geometry is derived.,medium,Codex research execution 2026-08-17,,research-complete,1.0.0
us-madison-world-wide-technology-raceway-formula-drift-2024,Formula Drift 2024 — World Wide Technology Raceway,Formula Drift Rd.5,Formula Drift,international_continental_top,2024,Rd.5,World Wide Technology Raceway,Madison,United States,US,North America,permanent,oval/infield judged sector,"start-to-finish sequence shown by the cited competition run; open judged course, so whole-lap CW/CCW is not applicable",event-specific judged segment shown in the cited competition source; not the venue full-lap map,marked/staged competition start visible in the cited run,end of the judged sequence visible in the cited run,first judged initiation visible after the acceleration zone; exact marker coordinates require the production review pass,only features visibly marked or repeatedly demonstrated in the cited event source; no inferred clip points are authorized,92,permanent|oval-infield,source-threshold-met,pending-independent-blind-review,Reconstruct factual topology from the competition run plus a separate OSM/venue context map; do not trace either source artwork.,Competition media: reference-only; OSM context: ODbL attribution required if geometry is derived.,medium,Codex research execution 2026-08-17,,research-complete,1.0.0
us-monroe-evergreen-speedway-formula-drift-2024,Formula Drift 2024 — Evergreen Speedway,Formula Drift Rd.6,Formula Drift,international_continental_top,2024,Rd.6,Evergreen Speedway,Monroe,United States,US,North America,permanent,bank-to-infield judged sector,"start-to-finish sequence shown by the cited competition run; open judged course, so whole-lap CW/CCW is not applicable",event-specific judged segment shown in the cited competition source; not the venue full-lap map,marked/staged competition start visible in the cited run,end of the judged sequence visible in the cited run,first judged initiation visible after the acceleration zone; exact marker coordinates require the production review pass,only features visibly marked or repeatedly demonstrated in the cited event source; no inferred clip points are authorized,90,permanent|banked-oval,source-threshold-met,pending-independent-blind-review,Reconstruct factual topology from the competition run plus a separate OSM/venue context map; do not trace either source artwork.,Competition media: reference-only; OSM context: ODbL attribution required if geometry is derived.,medium,Codex research execution 2026-08-17,,research-complete,1.0.0
us-las-vegas-las-vegas-motor-speedway-formula-drift-2012,Formula Drift 2012 — Las Vegas Motor Speedway,Formula Drift Rd.6,Formula Drift,international_continental_top,2012,Rd.6,Las Vegas Motor Speedway,Las Vegas,United States,US,North America,parking,After Dark temporary course,"start-to-finish sequence shown by the cited competition run; open judged course, so whole-lap CW/CCW is not applicable",event-specific judged segment shown in the cited competition source; not the venue full-lap map,marked/staged competition start visible in the cited run,end of the judged sequence visible in the cited run,first judged initiation visible after the acceleration zone; exact marker coordinates require the production review pass,only features visibly marked or repeatedly demonstrated in the cited event source; no inferred clip points are authorized,88,temporary|parking|historic,source-threshold-met,pending-independent-blind-review,Reconstruct factual topology from the competition run plus a separate OSM/venue context map; do not trace either source artwork.,Competition media: reference-only; OSM context: ODbL attribution required if geometry is derived.,medium,Codex research execution 2026-08-17,,research-complete,1.0.0
us-irwindale-irwindale-speedway-formula-drift-2024,Formula Drift 2024 — Irwindale Speedway,Formula Drift Rd.8,Formula Drift,international_continental_top,2024,Rd.8,Irwindale Speedway,Irwindale,United States,US,North America,permanent,bank-to-infield House of Drift sector,"start-to-finish sequence shown by the cited competition run; open judged course, so whole-lap CW/CCW is not applicable",event-specific judged segment shown in the cited competition source; not the venue full-lap map,marked/staged competition start visible in the cited run,end of the judged sequence visible in the cited run,first judged initiation visible after the acceleration zone; exact marker coordinates require the production review pass,only features visibly marked or repeatedly demonstrated in the cited event source; no inferred clip points are authorized,95,permanent|banked-oval,source-threshold-met,pending-independent-blind-review,Reconstruct factual topology from the competition run plus a separate OSM/venue context map; do not trace either source artwork.,Competition media: reference-only; OSM context: ODbL attribution required if geometry is derived.,medium,Codex research execution 2026-08-17,,research-complete,1.0.0
ca-montmagny-autodrome-montmagny-dmcc-2024,DMCC 2024 — Autodrome Montmagny,DMCC Rd.4,DMCC,mature_national,2024,Rd.4,Autodrome Montmagny,Montmagny,Canada,CA,North America,permanent,speedway judged sector,"start-to-finish sequence shown by the cited competition run; open judged course, so whole-lap CW/CCW is not applicable",event-specific judged segment shown in the cited competition source; not the venue full-lap map,marked/staged competition start visible in the cited run,end of the judged sequence visible in the cited run,first judged initiation visible after the acceleration zone; exact marker coordinates require the production review pass,only features visibly marked or repeatedly demonstrated in the cited event source; no inferred clip points are authorized,86,permanent|national-series,source-threshold-met,pending-independent-blind-review,Reconstruct factual topology from the competition run plus a separate OSM/venue context map; do not trace either source artwork.,Competition media: reference-only; OSM context: ODbL attribution required if geometry is derived.,medium,Codex research execution 2026-08-17,,research-complete,1.0.0
mx-queretaro-autodromo-de-queretaro-mexican-drift-championship-2024,Mexican Drift Championship 2024 — Autodromo de Queretaro,Mexican Drift Championship Round 3,Mexican Drift Championship,mature_national,2024,Round 3,Autodromo de Queretaro,Queretaro,Mexico,MX,North America,permanent,event judged sector,"start-to-finish sequence shown by the cited competition run; open judged course, so whole-lap CW/CCW is not applicable",event-specific judged segment shown in the cited competition source; not the venue full-lap map,marked/staged competition start visible in the cited run,end of the judged sequence visible in the cited run,first judged initiation visible after the acceleration zone; exact marker coordinates require the production review pass,only features visibly marked or repeatedly demonstrated in the cited event source; no inferred clip points are authorized,75,permanent|two-source-route,source-threshold-met,pending-independent-blind-review,Reconstruct factual topology from the competition run plus a separate OSM/venue context map; do not trace either source artwork.,Competition media: reference-only; OSM context: ODbL attribution required if geometry is derived.,high,Codex research execution 2026-08-17,,research-complete,1.0.0
it-rome-autodromo-vallelunga-piero-taruf-drift-masters-2026,Drift Masters 2026 — Autodromo Vallelunga Piero Taruffi,Drift Masters Rd.1,Drift Masters,international_continental_top,2026,Rd.1,Autodromo Vallelunga Piero Taruffi,Rome,Italy,IT,Europe,permanent,official 2026 briefing course,"start-to-finish sequence shown by the cited competition run; open judged course, so whole-lap CW/CCW is not applicable",event-specific judged segment shown in the cited competition source; not the venue full-lap map,marked/staged competition start visible in the cited run,end of the judged sequence visible in the cited run,first judged initiation visible after the acceleration zone; exact marker coordinates require the production review pass,"official briefing-defined initiation, inner/outer zones, scoring line and finish; transcribe only the numbered briefing geometry",99,permanent|continental|official-course-map|official-zones,source-threshold-met,pending-independent-blind-review,Reconstruct factual topology from the competition run plus a separate OSM/venue context map; do not trace either source artwork.,Competition media: reference-only; OSM context: ODbL attribution required if geometry is derived.,medium,Codex research execution 2026-08-17,,research-complete,1.0.0
es-madrid-circuito-de-madrid-jarama-race-drift-masters-2026,Drift Masters 2026 — Circuito de Madrid Jarama RACE,Drift Masters Rd.2,Drift Masters,international_continental_top,2026,Rd.2,Circuito de Madrid Jarama RACE,Madrid,Spain,ES,Europe,permanent,official 2026 briefing course,"start-to-finish sequence shown by the cited competition run; open judged course, so whole-lap CW/CCW is not applicable",event-specific judged segment shown in the cited competition source; not the venue full-lap map,marked/staged competition start visible in the cited run,end of the judged sequence visible in the cited run,first judged initiation visible after the acceleration zone; exact marker coordinates require the production review pass,"official briefing-defined initiation cone, inner/outer zones, scoring line and finish",99,permanent|continental|official-course-map|official-zones,source-threshold-met,pending-independent-blind-review,Reconstruct factual topology from the competition run plus a separate OSM/venue context map; do not trace either source artwork.,Competition media: reference-only; OSM context: ODbL attribution required if geometry is derived.,medium,Codex research execution 2026-08-17,,research-complete,1.0.0
ie-kildare-mondello-park-drift-masters-2026,Drift Masters 2026 — Mondello Park,Drift Masters Rd.3,Drift Masters,international_continental_top,2026,Rd.3,Mondello Park,Kildare,Ireland,IE,Europe,permanent,official 2026 briefing course,"start-to-finish sequence shown by the cited competition run; open judged course, so whole-lap CW/CCW is not applicable",event-specific judged segment shown in the cited competition source; not the venue full-lap map,marked/staged competition start visible in the cited run,end of the judged sequence visible in the cited run,first judged initiation visible after the acceleration zone; exact marker coordinates require the production review pass,"official briefing-defined initiation cone, inner/outer zones, scoring line and finish",99,permanent|continental|official-course-map|official-zones,source-threshold-met,pending-independent-blind-review,Reconstruct factual topology from the competition run plus a separate OSM/venue context map; do not trace either source artwork.,Competition media: reference-only; OSM context: ODbL attribution required if geometry is derived.,medium,Codex research execution 2026-08-17,,research-complete,1.0.0
fi-hameenlinna-ahvenisto-race-circuit-drift-masters-2026,Drift Masters 2026 — Ahvenisto Race Circuit,Drift Masters Rd.4,Drift Masters,international_continental_top,2026,Rd.4,Ahvenisto Race Circuit,Hameenlinna,Finland,FI,Europe,permanent,official 2026 briefing course,"start-to-finish sequence shown by the cited competition run; open judged course, so whole-lap CW/CCW is not applicable",event-specific judged segment shown in the cited competition source; not the venue full-lap map,marked/staged competition start visible in the cited run,end of the judged sequence visible in the cited run,first judged initiation visible after the acceleration zone; exact marker coordinates require the production review pass,"official briefing-defined initiation cone, inner/outer zones, scoring line and finish",99,permanent|continental|official-course-map|official-zones|elevation,source-threshold-met,pending-independent-blind-review,Reconstruct factual topology from the competition run plus a separate OSM/venue context map; do not trace either source artwork.,Competition media: reference-only; OSM context: ODbL attribution required if geometry is derived.,medium,Codex research execution 2026-08-17,,research-complete,1.0.0
lv-riga-bikernieki-circuit-drift-masters-2026,Drift Masters 2026 — Bikernieki Circuit,Drift Masters Rd.5,Drift Masters,international_continental_top,2026,Rd.5,Bikernieki Circuit,Riga,Latvia,LV,Europe,permanent,official 2026 briefing course,"start-to-finish sequence shown by the cited competition run; open judged course, so whole-lap CW/CCW is not applicable",event-specific judged segment shown in the cited competition source; not the venue full-lap map,marked/staged competition start visible in the cited run,end of the judged sequence visible in the cited run,first judged initiation visible after the acceleration zone; exact marker coordinates require the production review pass,official briefing states scoring starts at the standing cone/white line before OZ1 and defines all zones to finish,99,permanent|continental|official-course-map|official-zones|high-speed,source-threshold-met,pending-independent-blind-review,Reconstruct factual topology from the competition run plus a separate OSM/venue context map; do not trace either source artwork.,Competition media: reference-only; OSM context: ODbL attribution required if geometry is derived.,medium,Codex research execution 2026-08-17,,research-complete,1.0.0
de-grafenhainichen-ferropolis-drift-masters-2026,Drift Masters 2026 — Ferropolis,Drift Masters Rd.6,Drift Masters,international_continental_top,2026,Rd.6,Ferropolis,Grafenhainichen,Germany,DE,Europe,parking,official 2026 industrial-site course,"start-to-finish sequence shown by the cited competition run; open judged course, so whole-lap CW/CCW is not applicable",event-specific judged segment shown in the cited competition source; not the venue full-lap map,marked/staged competition start visible in the cited run,end of the judged sequence visible in the cited run,first judged initiation visible after the acceleration zone; exact marker coordinates require the production review pass,"official briefing-defined scoring-zone start, initiation instruction, inner/outer zones and finish",99,temporary|industrial|continental|official-course-map|official-zones,source-threshold-met,pending-independent-blind-review,Reconstruct factual topology from the competition run plus a separate OSM/venue context map; do not trace either source artwork.,Competition media: reference-only; OSM context: ODbL attribution required if geometry is derived.,medium,Codex research execution 2026-08-17,,research-complete,1.0.0
gb-liverpool-liverpool-waterfront-temporary-c-red-bull-drift-shifters-2018,Red Bull Drift Shifters 2018 — Liverpool Waterfront temporary course,Red Bull Drift Shifters Invitational,Red Bull Drift Shifters,historic_independent_invitation,2018,Invitational,Liverpool Waterfront temporary course,Liverpool,United Kingdom,GB,Europe,street,sensor-scored temporary street course,"start-to-finish sequence shown by the cited competition run; open judged course, so whole-lap CW/CCW is not applicable",event-specific judged segment shown in the cited competition source; not the venue full-lap map,marked/staged competition start visible in the cited run,end of the judged sequence visible in the cited run,first judged initiation visible after the acceleration zone; exact marker coordinates require the production review pass,only features visibly marked or repeatedly demonstrated in the cited event source; no inferred clip points are authorized,91,temporary|street|invitational,source-threshold-met,pending-independent-blind-review,Reconstruct factual topology from the competition run plus a separate OSM/venue context map; do not trace either source artwork.,Competition media: reference-only; OSM context: ODbL attribution required if geometry is derived.,medium,Codex research execution 2026-08-17,,research-complete,1.0.0
it-prato-prato-event-car-park-campionato-italiano-drifting-2026,Campionato Italiano Drifting 2026 — Prato event car park,Campionato Italiano Drifting Rd.2,Campionato Italiano Drifting,mature_national,2026,Rd.2,Prato event car park,Prato,Italy,IT,Europe,parking,official car-park challenge course,"start-to-finish sequence shown by the cited competition run; open judged course, so whole-lap CW/CCW is not applicable",event-specific judged segment shown in the cited competition source; not the venue full-lap map,marked/staged competition start visible in the cited run,end of the judged sequence visible in the cited run,first judged initiation visible after the acceleration zone; exact marker coordinates require the production review pass,only features visibly marked or repeatedly demonstrated in the cited event source; no inferred clip points are authorized,88,temporary|parking|national-series,source-threshold-met,pending-independent-blind-review,Reconstruct factual topology from the competition run plus a separate OSM/venue context map; do not trace either source artwork.,Competition media: reference-only; OSM context: ODbL attribution required if geometry is derived.,medium,Codex research execution 2026-08-17,,research-complete,1.0.0
de-nurburg-nurburgring-mullenbachschleife-nurburgring-drift-cup-2026,Nurburgring Drift Cup 2026 — Nurburgring Mullenbachschleife,Nurburgring Drift Cup Rd.1,Nurburgring Drift Cup,mature_national,2026,Rd.1,Nurburgring Mullenbachschleife,Nurburg,Germany,DE,Europe,permanent,Mullenbachschleife judged sector,"start-to-finish sequence shown by the cited competition run; open judged course, so whole-lap CW/CCW is not applicable",event-specific judged segment shown in the cited competition source; not the venue full-lap map,marked/staged competition start visible in the cited run,end of the judged sequence visible in the cited run,first judged initiation visible after the acceleration zone; exact marker coordinates require the production review pass,only features visibly marked or repeatedly demonstrated in the cited event source; no inferred clip points are authorized,89,permanent|national-series,source-threshold-met,pending-independent-blind-review,Reconstruct factual topology from the competition run plus a separate OSM/venue context map; do not trace either source artwork.,Competition media: reference-only; OSM context: ODbL attribution required if geometry is derived.,medium,Codex research execution 2026-08-17,,research-complete,1.0.0
fr-croix-en-ternois-circuit-de-croix-en-ternois-championnat-de-france-de-drift-2024,Championnat de France de Drift 2024 — Circuit de Croix-en-Ternois,Championnat de France de Drift Rd.4,Championnat de France de Drift,mature_national,2024,Rd.4,Circuit de Croix-en-Ternois,Croix-en-Ternois,France,FR,Europe,permanent,event judged sector,"start-to-finish sequence shown by the cited competition run; open judged course, so whole-lap CW/CCW is not applicable",event-specific judged segment shown in the cited competition source; not the venue full-lap map,marked/staged competition start visible in the cited run,end of the judged sequence visible in the cited run,first judged initiation visible after the acceleration zone; exact marker coordinates require the production review pass,only features visibly marked or repeatedly demonstrated in the cited event source; no inferred clip points are authorized,90,permanent|national-series,source-threshold-met,pending-independent-blind-review,Reconstruct factual topology from the competition run plus a separate OSM/venue context map; do not trace either source artwork.,Competition media: reference-only; OSM context: ODbL attribution required if geometry is derived.,medium,Codex research execution 2026-08-17,,research-complete,1.0.0
gr-serres-serres-racing-circuit-drift-kings-2024,Drift Kings 2024 — Serres Racing Circuit,Drift Kings Retro Cup,Drift Kings,historic_independent_invitation,2024,Retro Cup,Serres Racing Circuit,Serres,Greece,GR,Europe,permanent,Retro Cup judged sector,"start-to-finish sequence shown by the cited competition run; open judged course, so whole-lap CW/CCW is not applicable",event-specific judged segment shown in the cited competition source; not the venue full-lap map,marked/staged competition start visible in the cited run,end of the judged sequence visible in the cited run,first judged initiation visible after the acceleration zone; exact marker coordinates require the production review pass,only features visibly marked or repeatedly demonstrated in the cited event source; no inferred clip points are authorized,78,permanent|independent|historic-cars,source-threshold-met,pending-independent-blind-review,Reconstruct factual topology from the competition run plus a separate OSM/venue context map; do not trace either source artwork.,Competition media: reference-only; OSM context: ODbL attribution required if geometry is derived.,medium,Codex research execution 2026-08-17,,research-complete,1.0.0
