track_id,selection_status,backup_rank,display_name,event_name,series,event_tier,event_year,round,venue_name,city,country_or_region,iso_country_code,atlas_region,venue_type,course_variant,direction,course_segment,route_source_tier,route_source_url,second_route_tier,second_route_url,selection_score,evidence_status,production_clearance,replacement_for,evidence_conflicts,confidence_notes
de-grafenhainichen-ferropolis-drift-masters-2026,selected,,Drift Masters 2026 — Ferropolis,Drift Masters Rd.6,Drift Masters,international_continental_top,2026,Rd.6,Ferropolis,Grafenhainichen,Germany,DE,Europe,parking,official 2026 industrial-site course,"start-to-finish sequence shown by the cited competition run; open judged course, so whole-lap CW/CCW is not applicable",event-specific judged segment shown in the cited competition source; not the venue full-lap map,S,https://dm.gp/media/udkmmigg/dm26-rd6-germany-qualifying-battle-briefing_web.pdf,,,99,source-threshold-met,pending-independent-blind-review,,,Course direction is evidenced by the run sequence; compass bearing and marker coordinates remain a production-stage transcription task.
gb-liverpool-liverpool-waterfront-temporary-c-red-bull-drift-shifters-2018,selected,,Red Bull Drift Shifters 2018 — Liverpool Waterfront temporary course,Red Bull Drift Shifters Invitational,Red Bull Drift Shifters,historic_independent_invitation,2018,Invitational,Liverpool Waterfront temporary course,Liverpool,United Kingdom,GB,Europe,street,sensor-scored temporary street course,"start-to-finish sequence shown by the cited competition run; open judged course, so whole-lap CW/CCW is not applicable",event-specific judged segment shown in the cited competition source; not the venue full-lap map,S,https://www.youtube.com/watch?v=H5oE0tU-9Y8,,,91,source-threshold-met,pending-independent-blind-review,,,Course direction is evidenced by the run sequence; compass bearing and marker coordinates remain a production-stage transcription task.
it-prato-prato-event-car-park-campionato-italiano-drifting-2026,selected,,Campionato Italiano Drifting 2026 — Prato event car park,Campionato Italiano Drifting Rd.2,Campionato Italiano Drifting,mature_national,2026,Rd.2,Prato event car park,Prato,Italy,IT,Europe,parking,official car-park challenge course,"start-to-finish sequence shown by the cited competition run; open judged course, so whole-lap CW/CCW is not applicable",event-specific judged segment shown in the cited competition source; not the venue full-lap map,S,https://www.youtube.com/watch?v=typk96v-TKQ,,,88,source-threshold-met,pending-independent-blind-review,,,Course direction is evidenced by the run sequence; compass bearing and marker coordinates remain a production-stage transcription task.
de-nurburg-nurburgring-mullenbachschleife-nurburgring-drift-cup-2026,selected,,Nurburgring Drift Cup 2026 — Nurburgring Mullenbachschleife,Nurburgring Drift Cup Rd.1,Nurburgring Drift Cup,mature_national,2026,Rd.1,Nurburgring Mullenbachschleife,Nurburg,Germany,DE,Europe,permanent,Mullenbachschleife judged sector,"start-to-finish sequence shown by the cited competition run; open judged course, so whole-lap CW/CCW is not applicable",event-specific judged segment shown in the cited competition source; not the venue full-lap map,S,https://www.youtube.com/watch?v=_io1ytGJRGI,,,89,source-threshold-met,pending-independent-blind-review,,,Course direction is evidenced by the run sequence; compass bearing and marker coordinates remain a production-stage transcription task.
fr-croix-en-ternois-circuit-de-croix-en-ternois-championnat-de-france-de-drift-2024,selected,,Championnat de France de Drift 2024 — Circuit de Croix-en-Ternois,Championnat de France de Drift Rd.4,Championnat de France de Drift,mature_national,2024,Rd.4,Circuit de Croix-en-Ternois,Croix-en-Ternois,France,FR,Europe,permanent,event judged sector,"start-to-finish sequence shown by the cited competition run; open judged course, so whole-lap CW/CCW is not applicable",event-specific judged segment shown in the cited competition source; not the venue full-lap map,S,https://www.youtube.com/watch?v=zR80UvttYgU,,,90,source-threshold-met,pending-independent-blind-review,,,Course direction is evidenced by the run sequence; compass bearing and marker coordinates remain a production-stage transcription task.
gr-serres-serres-racing-circuit-drift-kings-2024,selected,,Drift Kings 2024 — Serres Racing Circuit,Drift Kings Retro Cup,Drift Kings,historic_independent_invitation,2024,Retro Cup,Serres Racing Circuit,Serres,Greece,GR,Europe,permanent,Retro Cup judged sector,"start-to-finish sequence shown by the cited competition run; open judged course, so whole-lap CW/CCW is not applicable",event-specific judged segment shown in the cited competition source; not the venue full-lap map,A,https://www.youtube.com/watch?v=IHvx4yATnvk,B,https://www.youtube.com/watch?v=hvRciuT_res,78,source-threshold-met,pending-independent-blind-review,,,Course direction is evidenced by the run sequence; compass bearing and marker coordinates remain a production-stage transcription task.
no-rakkestad-rudskogen-motorsenter-gatebil-breisladden-2020,selected,,Gatebil Breisladden 2020 — Rudskogen Motorsenter,Gatebil Breisladden Top 6,Gatebil Breisladden,historic_independent_invitation,2020,Top 6,Rudskogen Motorsenter,Rakkestad,Norway,NO,Europe,permanent,Breisladden judged sector,"start-to-finish sequence shown by the cited competition run; open judged course, so whole-lap CW/CCW is not applicable",event-specific judged segment shown in the cited competition source; not the venue full-lap map,S,https://www.youtube.com/watch?v=c4T-x69APoQ,,,82,source-threshold-met,pending-independent-blind-review,,,Course direction is evidenced by the run sequence; compass bearing and marker coordinates remain a production-stage transcription task.
nz-taupo-taupo-international-motorsport-p-d1nz-2024,selected,,D1NZ 2024 — Taupo International Motorsport Park,D1NZ Rd.1,D1NZ,mature_national,2024,Rd.1,Taupo International Motorsport Park,Taupo,New Zealand,NZ,Oceania,permanent,event judged sector,"start-to-finish sequence shown by the cited competition run; open judged course, so whole-lap CW/CCW is not applicable",event-specific judged segment shown in the cited competition source; not the venue full-lap map,A,https://www.youtube.com/watch?v=G0iG_wJ2KmE,,,90,source-threshold-met,pending-independent-blind-review,,,Course direction is evidenced by the run sequence; compass bearing and marker coordinates remain a production-stage transcription task.
nz-hampton-downs-hampton-downs-motorsport-park-d1nz-2024,selected,,D1NZ 2024 — Hampton Downs Motorsport Park,D1NZ Rd.2,D1NZ,mature_national,2024,Rd.2,Hampton Downs Motorsport Park,Hampton Downs,New Zealand,NZ,Oceania,permanent,event judged sector,"start-to-finish sequence shown by the cited competition run; open judged course, so whole-lap CW/CCW is not applicable",event-specific judged segment shown in the cited competition source; not the venue full-lap map,A,https://www.youtube.com/watch?v=3M4l31g6r-s,,,90,source-threshold-met,pending-independent-blind-review,,,Course direction is evidenced by the run sequence; compass bearing and marker coordinates remain a production-stage transcription task.
nz-feilding-manfeild-circuit-chris-amon-d1nz-2024,selected,,D1NZ 2024 — Manfeild Circuit Chris Amon,D1NZ Rd.4,D1NZ,mature_national,2024,Rd.4,Manfeild Circuit Chris Amon,Feilding,New Zealand,NZ,Oceania,permanent,reverse event judged sector,event-designated reverse course direction; start-to-finish sequence confirmed by broadcast,event-specific judged segment shown in the cited competition source; not the venue full-lap map,A,https://www.youtube.com/watch?v=PM1jaOsc8Sk,,,92,source-threshold-met,pending-independent-blind-review,,,Course direction is evidenced by the run sequence; compass bearing and marker coordinates remain a production-stage transcription task.
nz-tauranga-baypark-stadium-d1nz-2026,selected,,D1NZ 2026 — Baypark Stadium,D1NZ Rd.5,D1NZ,mature_national,2026,Rd.5,Baypark Stadium,Tauranga,New Zealand,NZ,Oceania,stadium,temporary stadium course,"start-to-finish sequence shown by the cited competition run; open judged course, so whole-lap CW/CCW is not applicable",event-specific judged segment shown in the cited competition source; not the venue full-lap map,S,https://www.youtube.com/watch?v=SFK3ytKCQbM,,,94,source-threshold-met,pending-independent-blind-review,,,Course direction is evidenced by the run sequence; compass bearing and marker coordinates remain a production-stage transcription task.
au-willowbank-queensland-raceway-hi-tec-oils-drift-allstars-2024,selected,,Hi-Tec Oils Drift Allstars 2024 — Queensland Raceway,Hi-Tec Oils Drift Allstars Rd.2,Hi-Tec Oils Drift Allstars,mature_national,2024,Rd.2,Queensland Raceway,Willowbank,Australia,AU,Oceania,permanent,event judged sector,"start-to-finish sequence shown by the cited competition run; open judged course, so whole-lap CW/CCW is not applicable",event-specific judged segment shown in the cited competition source; not the venue full-lap map,A,https://www.youtube.com/watch?v=Piq2olLzKaU,,,85,source-threshold-met,pending-independent-blind-review,,,Course direction is evidenced by the run sequence; compass bearing and marker coordinates remain a production-stage transcription task.
sg-singapore-changi-exhibition-centre-formula-drift-asia-2012,selected,,Formula Drift Asia 2012 — Changi Exhibition Centre,Formula Drift Asia Singapore round,Formula Drift Asia,international_continental_top,2012,Singapore round,Changi Exhibition Centre,Singapore,Singapore,SG,Asia (excluding Japan),parking,temporary exhibition-centre course,"start-to-finish sequence shown by the cited competition run; open judged course, so whole-lap CW/CCW is not applicable",event-specific judged segment shown in the cited competition source; not the venue full-lap map,B,https://www.youtube.com/watch?v=mLENyQXj-Bo,B,https://www.youtube.com/watch?v=3Mxj8ih1fQQ,78,source-threshold-met,pending-independent-blind-review,,,Course direction is evidenced by the run sequence; compass bearing and marker coordinates remain a production-stage transcription task.
my-kuala-lumpur-speed-city-kl-formula-drift-asia-2012,selected,,Formula Drift Asia 2012 — Speed City KL,Formula Drift Asia Malaysia round,Formula Drift Asia,international_continental_top,2012,Malaysia round,Speed City KL,Kuala Lumpur,Malaysia,MY,Asia (excluding Japan),permanent,event judged sector,"start-to-finish sequence shown by the cited competition run; open judged course, so whole-lap CW/CCW is not applicable",event-specific judged segment shown in the cited competition source; not the venue full-lap map,B,https://www.youtube.com/watch?v=Kfi4f_bOAqU,B,https://www.youtube.com/watch?v=OQQIgqe2XPk,76,source-threshold-met,pending-independent-blind-review,,,Course direction is evidenced by the run sequence; compass bearing and marker coordinates remain a production-stage transcription task.
th-bangkok-bangkok-temporary-drift-venue-formula-drift-asia-2012,selected,,Formula Drift Asia 2012 — Bangkok temporary drift venue,Formula Drift Asia Thailand round,Formula Drift Asia,international_continental_top,2012,Thailand round,Bangkok temporary drift venue,Bangkok,Thailand,TH,Asia (excluding Japan),parking,temporary Bangkok course,"start-to-finish sequence shown by the cited competition run; open judged course, so whole-lap CW/CCW is not applicable",event-specific judged segment shown in the cited competition source; not the venue full-lap map,B,https://www.youtube.com/watch?v=5hY23ZyKQIc,B,https://www.youtube.com/watch?v=TmEOqfygetk,74,source-threshold-met,pending-independent-blind-review,,,"Venue parcel name is unresolved; route sequence is visible, but location/base-map pin must be fixed before production."
id-jakarta-jiexpo-kemayoran-formula-drift-asia-2011,selected,,Formula Drift Asia 2011 — JIExpo Kemayoran,Formula Drift Asia Indonesia round,Formula Drift Asia,international_continental_top,2011,Indonesia round,JIExpo Kemayoran,Jakarta,Indonesia,ID,Asia (excluding Japan),parking,temporary exhibition-centre course,"start-to-finish sequence shown by the cited competition run; open judged course, so whole-lap CW/CCW is not applicable",event-specific judged segment shown in the cited competition source; not the venue full-lap map,B,https://www.youtube.com/watch?v=phYifo3zG58,B,https://www.youtube.com/watch?v=L7-bBHKTnEw,78,source-threshold-met,pending-independent-blind-review,,,Course direction is evidenced by the run sequence; compass bearing and marker coordinates remain a production-stage transcription task.
cn-beijing-beijing-d1-special-venue-d1-grand-prix-china-2016,selected,,D1 Grand Prix China 2016 — Beijing D1 Special Venue,D1 Grand Prix China Rd.3–4,D1 Grand Prix China,mature_national,2016,Rd.3–4,Beijing D1 Special Venue,Beijing,China,CN,Asia (excluding Japan),parking,Beijing temporary course,"start-to-finish sequence shown by the cited competition run; open judged course, so whole-lap CW/CCW is not applicable",event-specific judged segment shown in the cited competition source; not the venue full-lap map,A,https://www.youtube.com/watch?v=wLvxZJlic4w,S,https://www.d1gp.co.jp/03_sche/gp2016/gp2016_index.html,83,source-threshold-met,pending-independent-blind-review,,,Course direction is evidenced by the run sequence; compass bearing and marker coordinates remain a production-stage transcription task.
tw-taichung-lihpao-racing-park-tdgp2-2026,selected,,TDGP2 2026 — Lihpao Racing Park,Taiwan Drift GP2 2026 Round 1,TDGP2,mature_national,2026,Rd.1,Lihpao Racing Park,Taichung,Taiwan,TW,Asia (excluding Japan),permanent,event judged sector,"start-to-finish sequence shown by the cited competition run; open judged course, so whole-lap CW/CCW is not applicable",event-specific judged segment shown in the cited competition source; not the venue full-lap map,A,https://www.youtube.com/watch?v=gg0e_LsPTS4,,,81,source-threshold-met,pending-independent-blind-review,,,Organizer relationship of the Funcity channel should be confirmed in blind review; no clip-marker positions are approved yet.
