source_id,track_id,evidence_role,tier,title,publisher,url,published_at,accessed_at,page_or_timecode,claim_supported,license,independence_group,notes
jp-hita-autopolis-d1gp-2024-venue,jp-hita-autopolis-d1gp-2024,venue-map-only,A,OpenStreetMap context search — Autopolis,OpenStreetMap contributors,https://www.openstreetmap.org/search?query=Autopolis%2C%20Hita%2C%20Japan,,2026-08-17,map context only; resolve stable OSM object/relation before geometry extraction,venue/street context only; does not prove the drift competition course,ODbL; attribution required for derived geometry,OpenStreetMap,Explicitly prohibited as sole evidence of the actual competition route.
jp-tokyo-odaiba-special-venue-d1gp-2024-route-1,jp-tokyo-odaiba-special-venue-d1gp-2024,competition-course,S,D1GP Rd.9&10 Odaiba preview,D1 Official Website,https://d1gp.co.jp/18872/,,2026-08-17,named event/course section on page,"event identity, actual judged segment, start-to-finish order and direction as visible/described",reference-only; no redistribution,D1 Official Website,Do not use as a traceable drawing substrate.
jp-tokyo-odaiba-special-venue-d1gp-2024-identity,jp-tokyo-odaiba-special-venue-d1gp-2024,event-identity,S,Official event outline and venue plan,official organizer / sanctioning body,https://entry.d1gp.co.jp/download_files/information_odaiba_001_%E9%96%8B%E5%82%AC%E6%A6%82%E8%A6%81.pdf,,2026-08-17,named event/round/venue section,"event name, year, round, venue and organized competition status",reference-only,official identity,
jp-tokyo-odaiba-special-venue-d1gp-2024-venue,jp-tokyo-odaiba-special-venue-d1gp-2024,venue-map-only,A,OpenStreetMap context search — Odaiba Special Venue,OpenStreetMap contributors,https://www.openstreetmap.org/search?query=Odaiba%20Special%20Venue%2C%20Tokyo%2C%20Japan,,2026-08-17,map context only; resolve stable OSM object/relation before geometry extraction,venue/street context only; does not prove the drift competition course,ODbL; attribution required for derived geometry,OpenStreetMap,Explicitly prohibited as sole evidence of the actual competition route.
jp-oyama-fuji-speedway-formula-drift-japan-2024-route-1,jp-oyama-fuji-speedway-formula-drift-japan-2024,competition-course,S,2024 FD Japan Rd.1 Fuji event page,Formula Drift Japan,https://formulad.jp/news/20240329/,,2026-08-17,named event/course section on page,"event identity, actual judged segment, start-to-finish order and direction as visible/described",reference-only; no redistribution,Formula Drift Japan,Do not use as a traceable drawing substrate.
jp-oyama-fuji-speedway-formula-drift-japan-2024-route-2,jp-oyama-fuji-speedway-formula-drift-japan-2024,competition-course corroboration,B,Formula Drift Japan 2024 Round 1 complete-run edit,ONE MORE TIME by GRINYA,https://www.youtube.com/watch?v=4svH3BfhBzg,,2026-08-17,00:00–34:35; multiple complete runs,independent corroboration of course sequence and/or event identity,reference-only; no redistribution,ONE MORE TIME by GRINYA,Required where the primary route source is B tier.
jp-oyama-fuji-speedway-formula-drift-japan-2024-identity,jp-oyama-fuji-speedway-formula-drift-japan-2024,event-identity,S,2024 FDJ standings by round,official organizer / sanctioning body,https://formulad.jp/2024-fdj-standings/,,2026-08-17,named event/round/venue section,"event name, year, round, venue and organized competition status",reference-only,official identity,
jp-oyama-fuji-speedway-formula-drift-japan-2024-venue,jp-oyama-fuji-speedway-formula-drift-japan-2024,venue-map-only,A,OpenStreetMap context search — Fuji Speedway,OpenStreetMap contributors,https://www.openstreetmap.org/search?query=Fuji%20Speedway%2C%20Oyama%2C%20Japan,,2026-08-17,map context only; resolve stable OSM object/relation before geometry extraction,venue/street context only; does not prove the drift competition course,ODbL; attribution required for derived geometry,OpenStreetMap,Explicitly prohibited as sole evidence of the actual competition route.
jp-suzuka-suzuka-twin-circuit-formula-drift-japan-2024-route-1,jp-suzuka-suzuka-twin-circuit-formula-drift-japan-2024,competition-course,S,FDJ Round 2 Suzuka Twin Top 16,Formula DRIFT,https://www.youtube.com/watch?v=ZJAE87jbIw8,,2026-08-17,full official Top 16 broadcast; repeated complete lead/chase runs,"event identity, actual judged segment, start-to-finish order and direction as visible/described",reference-only; no redistribution,Formula DRIFT,Do not use as a traceable drawing substrate.
jp-suzuka-suzuka-twin-circuit-formula-drift-japan-2024-identity,jp-suzuka-suzuka-twin-circuit-formula-drift-japan-2024,event-identity,S,2024 FDJ official standings,official organizer / sanctioning body,https://formulad.jp/2024-fdj-standings/,,2026-08-17,named event/round/venue section,"event name, year, round, venue and organized competition status",reference-only,official identity,
jp-suzuka-suzuka-twin-circuit-formula-drift-japan-2024-venue,jp-suzuka-suzuka-twin-circuit-formula-drift-japan-2024,venue-map-only,A,OpenStreetMap context search — Suzuka Twin Circuit,OpenStreetMap contributors,https://www.openstreetmap.org/search?query=Suzuka%20Twin%20Circuit%2C%20Suzuka%2C%20Japan,,2026-08-17,map context only; resolve stable OSM object/relation before geometry extraction,venue/street context only; does not prove the drift competition course,ODbL; attribution required for derived geometry,OpenStreetMap,Explicitly prohibited as sole evidence of the actual competition route.
jp-nihonmatsu-ebisu-circuit-west-course-formula-drift-japan-2024-route-1,jp-nihonmatsu-ebisu-circuit-west-course-formula-drift-japan-2024,competition-course,S,FDJ Round 3 Ebisu West Top 16,Formula DRIFT,https://www.youtube.com/watch?v=urFE8EmQOA4,,2026-08-17,full official Top 16 broadcast; repeated complete lead/chase runs,"event identity, actual judged segment, start-to-finish order and direction as visible/described",reference-only; no redistribution,Formula DRIFT,Do not use as a traceable drawing substrate.
jp-nihonmatsu-ebisu-circuit-west-course-formula-drift-japan-2024-venue,jp-nihonmatsu-ebisu-circuit-west-course-formula-drift-japan-2024,venue-map-only,A,OpenStreetMap context search — Ebisu Circuit West Course,OpenStreetMap contributors,https://www.openstreetmap.org/search?query=Ebisu%20Circuit%20West%20Course%2C%20Nihonmatsu%2C%20Japan,,2026-08-17,map context only; resolve stable OSM object/relation before geometry extraction,venue/street context only; does not prove the drift competition course,ODbL; attribution required for derived geometry,OpenStreetMap,Explicitly prohibited as sole evidence of the actual competition route.
jp-murata-sportsland-sugo-formula-drift-japan-2024-route-1,jp-murata-sportsland-sugo-formula-drift-japan-2024,competition-course,B,2024 Formula Drift Japan Round 4 complete-run edit,ONE MORE TIME by GRINYA,https://www.youtube.com/watch?v=tV4jMfo_Chg,,2026-08-17,full programme or complete clip; repeated complete judged runs; exact frame timecode to be pinned during blind review,"event identity, actual judged segment, start-to-finish order and direction as visible/described",reference-only; no redistribution,ONE MORE TIME by GRINYA,Do not use as a traceable drawing substrate.
jp-murata-sportsland-sugo-formula-drift-japan-2024-route-2,jp-murata-sportsland-sugo-formula-drift-japan-2024,competition-course corroboration,S,Official event announcement,Formula Drift Japan,https://formulad.jp/news/20240611/,,2026-08-17,event identity and venue; route sequence comes from the complete-run edit,independent corroboration of course sequence and/or event identity,reference-only; no redistribution,Formula Drift Japan,Required where the primary route source is B tier.
jp-murata-sportsland-sugo-formula-drift-japan-2024-venue,jp-murata-sportsland-sugo-formula-drift-japan-2024,venue-map-only,A,OpenStreetMap context search — Sportsland Sugo,OpenStreetMap contributors,https://www.openstreetmap.org/search?query=Sportsland%20Sugo%2C%20Murata%2C%20Japan,,2026-08-17,map context only; resolve stable OSM object/relation before geometry extraction,venue/street context only; does not prove the drift competition course,ODbL; attribution required for derived geometry,OpenStreetMap,Explicitly prohibited as sole evidence of the actual competition route.
jp-mimasaka-okayama-international-circuit-formula-drift-japan-2024-route-1,jp-mimasaka-okayama-international-circuit-formula-drift-japan-2024,competition-course,S,FDJ Round 6 Okayama Top 16,Formula DRIFT,https://www.youtube.com/watch?v=gtkmF5brcHY,,2026-08-17,full programme or complete clip; repeated complete judged runs; exact frame timecode to be pinned during blind review,"event identity, actual judged segment, start-to-finish order and direction as visible/described",reference-only; no redistribution,Formula DRIFT,Do not use as a traceable drawing substrate.
jp-mimasaka-okayama-international-circuit-formula-drift-japan-2024-identity,jp-mimasaka-okayama-international-circuit-formula-drift-japan-2024,event-identity,S,Official report and results,official organizer / sanctioning body,https://formulad.jp/news/20241015-01/,,2026-08-17,named event/round/venue section,"event name, year, round, venue and organized competition status",reference-only,official identity,
jp-mimasaka-okayama-international-circuit-formula-drift-japan-2024-venue,jp-mimasaka-okayama-international-circuit-formula-drift-japan-2024,venue-map-only,A,OpenStreetMap context search — Okayama International Circuit,OpenStreetMap contributors,https://www.openstreetmap.org/search?query=Okayama%20International%20Circuit%2C%20Mimasaka%2C%20Japan,,2026-08-17,map context only; resolve stable OSM object/relation before geometry extraction,venue/street context only; does not prove the drift competition course,ODbL; attribution required for derived geometry,OpenStreetMap,Explicitly prohibited as sole evidence of the actual competition route.
us-long-beach-grand-prix-of-long-beach-street-super-drift-challenge-2024-route-1,us-long-beach-grand-prix-of-long-beach-street-super-drift-challenge-2024,competition-course,S,Formula DRIFT Long Beach 2024 Top 16,Formula DRIFT,https://www.youtube.com/watch?v=HmbYdnQlCfg,,2026-08-17,full official competition broadcast; repeated complete runs,"event identity, actual judged segment, start-to-finish order and direction as visible/described",reference-only; no redistribution,Formula DRIFT,Do not use as a traceable drawing substrate.
us-long-beach-grand-prix-of-long-beach-street-super-drift-challenge-2024-venue,us-long-beach-grand-prix-of-long-beach-street-super-drift-challenge-2024,venue-map-only,A,OpenStreetMap context search — Grand Prix of Long Beach street circuit,OpenStreetMap contributors,https://www.openstreetmap.org/search?query=Grand%20Prix%20of%20Long%20Beach%20street%20circuit%2C%20Long%20Beach%2C%20United%20States,,2026-08-17,map context only; resolve stable OSM object/relation before geometry extraction,venue/street context only; does not prove the drift competition course,ODbL; attribution required for derived geometry,OpenStreetMap,Explicitly prohibited as sole evidence of the actual competition route.
us-braselton-michelin-raceway-road-atlanta-formula-drift-2026-route-1,us-braselton-michelin-raceway-road-atlanta-formula-drift-2026,competition-course,S,Formula Drift 2026 Atlanta official event track page,Formula DRIFT,https://www.formulad.com/schedule/2026/atlanta,,2026-08-17,Track section and official event map; completed event/results links on page,"event identity, actual judged segment, start-to-finish order and direction as visible/described",reference-only; no redistribution,Formula DRIFT,Do not use as a traceable drawing substrate.
us-braselton-michelin-raceway-road-atlanta-formula-drift-2026-route-2,us-braselton-michelin-raceway-road-atlanta-formula-drift-2026,competition-course corroboration,S,Formula DRIFT Atlanta 2026 Top 16 on-demand,Formula DRIFT,https://www.youtube.com/watch?v=JRJsgQc2oiQ,,2026-08-17,full official Top 16 broadcast; repeated complete lead/chase runs,independent corroboration of course sequence and/or event identity,reference-only; no redistribution,Formula DRIFT,Required where the primary route source is B tier.
us-braselton-michelin-raceway-road-atlanta-formula-drift-2026-venue,us-braselton-michelin-raceway-road-atlanta-formula-drift-2026,venue-map-only,A,OpenStreetMap context search — Michelin Raceway Road Atlanta,OpenStreetMap contributors,https://www.openstreetmap.org/search?query=Michelin%20Raceway%20Road%20Atlanta%2C%20Braselton%2C%20United%20States,,2026-08-17,map context only; resolve stable OSM object/relation before geometry extraction,venue/street context only; does not prove the drift competition course,ODbL; attribution required for derived geometry,OpenStreetMap,Explicitly prohibited as sole evidence of the actual competition route.
us-orlando-orlando-speed-world-formula-drift-2026-route-1,us-orlando-orlando-speed-world-formula-drift-2026,competition-course,S,Formula Drift 2026 Orlando official event track page,Formula DRIFT,https://www.formulad.com/schedule/2026/orlando,,2026-08-17,Track section and official event map; completed event/results links on page,"event identity, actual judged segment, start-to-finish order and direction as visible/described",reference-only; no redistribution,Formula DRIFT,Do not use as a traceable drawing substrate.
us-orlando-orlando-speed-world-formula-drift-2026-route-2,us-orlando-orlando-speed-world-formula-drift-2026,competition-course corroboration,S,Formula DRIFT Orlando 2026 Top 16 on-demand,Formula DRIFT,https://www.youtube.com/watch?v=8hwmXHT0VcU,,2026-08-17,full official Top 16 broadcast; repeated complete lead/chase runs,independent corroboration of course sequence and/or event identity,reference-only; no redistribution,Formula DRIFT,Required where the primary route source is B tier.
us-orlando-orlando-speed-world-formula-drift-2026-venue,us-orlando-orlando-speed-world-formula-drift-2026,venue-map-only,A,OpenStreetMap context search — Orlando Speed World,OpenStreetMap contributors,https://www.openstreetmap.org/search?query=Orlando%20Speed%20World%2C%20Orlando%2C%20United%20States,,2026-08-17,map context only; resolve stable OSM object/relation before geometry extraction,venue/street context only; does not prove the drift competition course,ODbL; attribution required for derived geometry,OpenStreetMap,Explicitly prohibited as sole evidence of the actual competition route.
us-stafford-springs-stafford-motor-speedway-formula-drift-2026-route-1,us-stafford-springs-stafford-motor-speedway-formula-drift-2026,competition-course,S,Formula Drift 2026 Stafford official event track page,Formula DRIFT,https://www.formulad.com/schedule/2026/stafford,,2026-08-17,"Track section, official event map, schedule and completed results","event identity, actual judged segment, start-to-finish order and direction as visible/described",reference-only; no redistribution,Formula DRIFT,Do not use as a traceable drawing substrate.
us-stafford-springs-stafford-motor-speedway-formula-drift-2026-route-2,us-stafford-springs-stafford-motor-speedway-formula-drift-2026,competition-course corroboration,S,Formula DRIFT Connecticut 2026 Top 16 on-demand,Formula DRIFT,https://www.youtube.com/watch?v=iOMF-EL7r5Y,,2026-08-17,full official Top 16 broadcast; repeated complete lead/chase runs,independent corroboration of course sequence and/or event identity,reference-only; no redistribution,Formula DRIFT,Required where the primary route source is B tier.
us-stafford-springs-stafford-motor-speedway-formula-drift-2026-venue,us-stafford-springs-stafford-motor-speedway-formula-drift-2026,venue-map-only,A,OpenStreetMap context search — Stafford Motor Speedway,OpenStreetMap contributors,https://www.openstreetmap.org/search?query=Stafford%20Motor%20Speedway%2C%20Stafford%20Springs%2C%20United%20States,,2026-08-17,map context only; resolve stable OSM object/relation before geometry extraction,venue/street context only; does not prove the drift competition course,ODbL; attribution required for derived geometry,OpenStreetMap,Explicitly prohibited as sole evidence of the actual competition route.
us-madison-world-wide-technology-raceway-formula-drift-2024-route-1,us-madison-world-wide-technology-raceway-formula-drift-2024,competition-course,S,Formula DRIFT St. Louis 2024 Top 16,Formula DRIFT,https://www.youtube.com/watch?v=3XKkM25zkeg,,2026-08-17,full programme or complete clip; repeated complete judged runs; exact frame timecode to be pinned during blind review,"event identity, actual judged segment, start-to-finish order and direction as visible/described",reference-only; no redistribution,Formula DRIFT,Do not use as a traceable drawing substrate.
us-madison-world-wide-technology-raceway-formula-drift-2024-venue,us-madison-world-wide-technology-raceway-formula-drift-2024,venue-map-only,A,OpenStreetMap context search — World Wide Technology Raceway,OpenStreetMap contributors,https://www.openstreetmap.org/search?query=World%20Wide%20Technology%20Raceway%2C%20Madison%2C%20United%20States,,2026-08-17,map context only; resolve stable OSM object/relation before geometry extraction,venue/street context only; does not prove the drift competition course,ODbL; attribution required for derived geometry,OpenStreetMap,Explicitly prohibited as sole evidence of the actual competition route.
us-monroe-evergreen-speedway-formula-drift-2024-route-1,us-monroe-evergreen-speedway-formula-drift-2024,competition-course,S,Formula DRIFT Seattle 2024 Highlights,Formula DRIFT,https://www.youtube.com/watch?v=1ka7q0xQqdk,,2026-08-17,00:00–13:41 official highlights; multiple full runs,"event identity, actual judged segment, start-to-finish order and direction as visible/described",reference-only; no redistribution,Formula DRIFT,Do not use as a traceable drawing substrate.
us-monroe-evergreen-speedway-formula-drift-2024-venue,us-monroe-evergreen-speedway-formula-drift-2024,venue-map-only,A,OpenStreetMap context search — Evergreen Speedway,OpenStreetMap contributors,https://www.openstreetmap.org/search?query=Evergreen%20Speedway%2C%20Monroe%2C%20United%20States,,2026-08-17,map context only; resolve stable OSM object/relation before geometry extraction,venue/street context only; does not prove the drift competition course,ODbL; attribution required for derived geometry,OpenStreetMap,Explicitly prohibited as sole evidence of the actual competition route.
us-las-vegas-las-vegas-motor-speedway-formula-drift-2012-route-1,us-las-vegas-las-vegas-motor-speedway-formula-drift-2012,competition-course,S,Formula DRIFT After Dark Las Vegas live,Formula DRIFT,https://www.youtube.com/watch?v=V5eOZ5nZfy8,,2026-08-17,full programme or complete clip; repeated complete judged runs; exact frame timecode to be pinned during blind review,"event identity, actual judged segment, start-to-finish order and direction as visible/described",reference-only; no redistribution,Formula DRIFT,Do not use as a traceable drawing substrate.
us-las-vegas-las-vegas-motor-speedway-formula-drift-2012-venue,us-las-vegas-las-vegas-motor-speedway-formula-drift-2012,venue-map-only,A,OpenStreetMap context search — Las Vegas Motor Speedway,OpenStreetMap contributors,https://www.openstreetmap.org/search?query=Las%20Vegas%20Motor%20Speedway%2C%20Las%20Vegas%2C%20United%20States,,2026-08-17,map context only; resolve stable OSM object/relation before geometry extraction,venue/street context only; does not prove the drift competition course,ODbL; attribution required for derived geometry,OpenStreetMap,Explicitly prohibited as sole evidence of the actual competition route.
us-irwindale-irwindale-speedway-formula-drift-2024-route-1,us-irwindale-irwindale-speedway-formula-drift-2024,competition-course,S,Formula DRIFT Irwindale 2024 Top 16,Formula DRIFT,https://www.youtube.com/watch?v=ccdYVvW3X-w,,2026-08-17,full programme or complete clip; repeated complete judged runs; exact frame timecode to be pinned during blind review,"event identity, actual judged segment, start-to-finish order and direction as visible/described",reference-only; no redistribution,Formula DRIFT,Do not use as a traceable drawing substrate.
us-irwindale-irwindale-speedway-formula-drift-2024-venue,us-irwindale-irwindale-speedway-formula-drift-2024,venue-map-only,A,OpenStreetMap context search — Irwindale Speedway,OpenStreetMap contributors,https://www.openstreetmap.org/search?query=Irwindale%20Speedway%2C%20Irwindale%2C%20United%20States,,2026-08-17,map context only; resolve stable OSM object/relation before geometry extraction,venue/street context only; does not prove the drift competition course,ODbL; attribution required for derived geometry,OpenStreetMap,Explicitly prohibited as sole evidence of the actual competition route.
ca-montmagny-autodrome-montmagny-dmcc-2024-route-1,ca-montmagny-autodrome-montmagny-dmcc-2024,competition-course,S,DMCC Round 4 Montmagny,DMCC Series,https://www.youtube.com/watch?v=AY7We6t4Viw,,2026-08-17,full programme or complete clip; repeated complete judged runs; exact frame timecode to be pinned during blind review,"event identity, actual judged segment, start-to-finish order and direction as visible/described",reference-only; no redistribution,DMCC Series,Do not use as a traceable drawing substrate.
ca-montmagny-autodrome-montmagny-dmcc-2024-venue,ca-montmagny-autodrome-montmagny-dmcc-2024,venue-map-only,A,OpenStreetMap context search — Autodrome Montmagny,OpenStreetMap contributors,https://www.openstreetmap.org/search?query=Autodrome%20Montmagny%2C%20Montmagny%2C%20Canada,,2026-08-17,map context only; resolve stable OSM object/relation before geometry extraction,venue/street context only; does not prove the drift competition course,ODbL; attribution required for derived geometry,OpenStreetMap,Explicitly prohibited as sole evidence of the actual competition route.
mx-queretaro-autodromo-de-queretaro-mexican-drift-championship-2024-route-1,mx-queretaro-autodromo-de-queretaro-mexican-drift-championship-2024,competition-course,B,Mexican Drift Championship 2024 Queretaro,RadicalShoott,https://www.youtube.com/watch?v=wNle69Xux0Q,,2026-08-17,full programme or complete clip; repeated complete judged runs; exact frame timecode to be pinned during blind review,"event identity, actual judged segment, start-to-finish order and direction as visible/described",reference-only; no redistribution,RadicalShoott,Do not use as a traceable drawing substrate.
mx-queretaro-autodromo-de-queretaro-mexican-drift-championship-2024-route-2,mx-queretaro-autodromo-de-queretaro-mexican-drift-championship-2024,competition-course corroboration,B,Mexican Drift Championship 2024 Round 3 Queretaro,Eduardo EG,https://www.youtube.com/watch?v=Pbp0usMM0no,,2026-08-17,00:00–08:28; independent event footage with complete runs,independent corroboration of course sequence and/or event identity,reference-only; no redistribution,Eduardo EG,Required where the primary route source is B tier.
mx-queretaro-autodromo-de-queretaro-mexican-drift-championship-2024-venue,mx-queretaro-autodromo-de-queretaro-mexican-drift-championship-2024,venue-map-only,A,OpenStreetMap context search — Autodromo de Queretaro,OpenStreetMap contributors,https://www.openstreetmap.org/search?query=Autodromo%20de%20Queretaro%2C%20Queretaro%2C%20Mexico,,2026-08-17,map context only; resolve stable OSM object/relation before geometry extraction,venue/street context only; does not prove the drift competition course,ODbL; attribution required for derived geometry,OpenStreetMap,Explicitly prohibited as sole evidence of the actual competition route.
it-rome-autodromo-vallelunga-piero-taruf-drift-masters-2026-route-1,it-rome-autodromo-vallelunga-piero-taruf-drift-masters-2026,competition-course,S,Drift Masters 2026 Italy qualifying/battle briefing,Drift Masters,https://dm.gp/media/hdqjd105/italy_rnd1_briefing_26.pdf,,2026-08-17,PDF pp.4–6 (track layout and initiation); p.18 (line/scoring guidance),"event identity, actual judged segment, start-to-finish order and direction as visible/described",reference-only; no redistribution,Drift Masters,Do not use as a traceable drawing substrate.
it-rome-autodromo-vallelunga-piero-taruf-drift-masters-2026-identity,it-rome-autodromo-vallelunga-piero-taruf-drift-masters-2026,event-identity,S,Official round page and results,official organizer / sanctioning body,https://dm.gp/seasons/drift-masters-2026/rounds/round-1/,,2026-08-17,named event/round/venue section,"event name, year, round, venue and organized competition status",reference-only,official identity,
it-rome-autodromo-vallelunga-piero-taruf-drift-masters-2026-venue,it-rome-autodromo-vallelunga-piero-taruf-drift-masters-2026,venue-map-only,A,OpenStreetMap context search — Autodromo Vallelunga Piero Taruffi,OpenStreetMap contributors,https://www.openstreetmap.org/search?query=Autodromo%20Vallelunga%20Piero%20Taruffi%2C%20Rome%2C%20Italy,,2026-08-17,map context only; resolve stable OSM object/relation before geometry extraction,venue/street context only; does not prove the drift competition course,ODbL; attribution required for derived geometry,OpenStreetMap,Explicitly prohibited as sole evidence of the actual competition route.
es-madrid-circuito-de-madrid-jarama-race-drift-masters-2026-route-1,es-madrid-circuito-de-madrid-jarama-race-drift-masters-2026,competition-course,S,Drift Masters 2026 Spain qualifying/battle briefing,Drift Masters,https://dm.gp/media/bjmpeaue/dm26-rd2-spain-qualifying-battle-briefing_page_260516_091859.pdf,,2026-08-17,PDF pp.5–7 (track layout and initiation); p.20 (line/scoring guidance),"event identity, actual judged segment, start-to-finish order and direction as visible/described",reference-only; no redistribution,Drift Masters,Do not use as a traceable drawing substrate.
es-madrid-circuito-de-madrid-jarama-race-drift-masters-2026-identity,es-madrid-circuito-de-madrid-jarama-race-drift-masters-2026,event-identity,S,Official round page and results,official organizer / sanctioning body,https://dm.gp/seasons/drift-masters-2026/rounds/round-2/,,2026-08-17,named event/round/venue section,"event name, year, round, venue and organized competition status",reference-only,official identity,
es-madrid-circuito-de-madrid-jarama-race-drift-masters-2026-venue,es-madrid-circuito-de-madrid-jarama-race-drift-masters-2026,venue-map-only,A,OpenStreetMap context search — Circuito de Madrid Jarama RACE,OpenStreetMap contributors,https://www.openstreetmap.org/search?query=Circuito%20de%20Madrid%20Jarama%20RACE%2C%20Madrid%2C%20Spain,,2026-08-17,map context only; resolve stable OSM object/relation before geometry extraction,venue/street context only; does not prove the drift competition course,ODbL; attribution required for derived geometry,OpenStreetMap,Explicitly prohibited as sole evidence of the actual competition route.
ie-kildare-mondello-park-drift-masters-2026-route-1,ie-kildare-mondello-park-drift-masters-2026,competition-course,S,Drift Masters 2026 Ireland qualifying/battle briefing,Drift Masters,https://dm.gp/media/xonftewg/dm26-rd3-briefing.pdf,,2026-08-17,PDF pp.6–8 (Track Layout and initiation); p.20 (line/scoring); p.26 (battle layout),"event identity, actual judged segment, start-to-finish order and direction as visible/described",reference-only; no redistribution,Drift Masters,Do not use as a traceable drawing substrate.
ie-kildare-mondello-park-drift-masters-2026-identity,ie-kildare-mondello-park-drift-masters-2026,event-identity,S,Official round page and results,official organizer / sanctioning body,https://dm.gp/seasons/drift-masters-2026/rounds/round-3/,,2026-08-17,named event/round/venue section,"event name, year, round, venue and organized competition status",reference-only,official identity,
